( text_01001 " prasidda kabiira adhyeitaa, purusxoottama agrawaala kaa yaha shoodha aaleikha, usa raamaanaqda kii khooja karataa hai " )
( text_01002 " kintu aadhunika paaqdxitya, na sirpha eeka braahmanxa raamaanaqda kei, eeka julaahei kabiira kaa guru hoonei sei, balki doonooq kei samakaaliina hoonei sei bhii, inakaara karataa hai " )
( text_01003 " usa para, ina caara kawiyooq kaa gaharaa asara hai " )
( text_01004 " isei kii baara, maqcita bhii kiyaa gayaa hai " )
( text_01005 " yahaamq prastuta hai, hindii kawi kathaakaara, teijii groowara kei aqgreijii kei maarphata kiee gee anuwaada kei kucha aqsha " )
( text_01006 " muula sei, aqgreizii meiq laanei kaa kaama, miinaa kaqdasaamii nei kiyaa hai, oura aqgreizii sei hindii anuwaada, giriraaja kiraadxuu nei " )
( text_01007 " duusarii tarapha, saaksxaatkaara meiq wei, suqdara kei wiruuddha, apanii ranxaniiti kei baarei meiq baata karatei haiq " )
( text_01008 " ustaada bismillaaha khaana, bhaaratiiya saqgiita hii nahiiq, samuucei kalaa saqsaara meiq, eeka wilaksxanxa upasthiti rahei " )
( text_01009 " apanei wyaktitwa, oura waada, doonooq sei wei, shaastriiya saqgiita meiq, eeka nee txaaiipa thei " )
( text_01010 " una para doo hindii kawiyooq kaa gada, isa phqiicara meiq shaamila hai " )
( text_01011 " yatiindra mishra kaa, sura kii baaraadarii, isa naama sei, peiqgwina yaatraa sei shiighra prakaashya pustaka sei liyaa gayaa hai, joo unakii kalaa, sthaaniiya paramparaa, unakei wyaktitwa koo eeka saatha padxhatii hai " )
( text_01012 " ustaada koo, txribyuutxa kii taraha, likhaa gayaa, wyoomeisha shukla kaa gadya, unakii kalaa koo, saaqskrxtika raajaniiti kei, pratiroodha kei, saqkeitooq kii taraha deikhataa hai " )
( text_01013 " isa aqka sei hama, eeka nayaa khaqdxa una kalaa ruupooq para aaraqbha kara rahei haiq, jinheiq looka priya, yaa populara kahaa jaataa hai " )
( text_01014 " basa itanaa pataa hai, ki usa zamaanei meiq, eeshiyaa, yuuroopa, aphriikaa, oura shaayada ameirikaa mahaadwiipa bhii, aapasa meiq judxei huee thei " )
( text_01015 " yuuroopa kaa baayaamq hissaa, aphriikaa kei daahinei meiq, oura aastxreiliyaa kaa uuparii pashcimii kinaaraa, aaja kei tamilanaadxu kei bagala meiq thaa " )
( text_01016 " matalaba ki, yuu eena o joo sapanaa hamaarei bhawisxya kei liee deikhataa hai, woo hamaarei itihaasa meiq, pahalei hii puuraa hoo cukaa hai " )
( text_01017 " matalaba ki, bhaasxaa eeka eekshana nahiiq, prakrxti koo deikhakara diyaa gayaa, hamaaraa rieekshana maatra hai " )
( text_01018 " suuraja koo deikhakara, hara prajaati kei manusxya kei mumqha sei, raa hii nikalaa " )
( text_01019 " isaliee, misra meiq bhii, suurya bhagawaana, raa haiq, oura siqdhu kei isa paara bhii, suuryawaqshii bhagawaana kaa naama, raama hai " )
( text_01020 " usameiq kahaa gayaa hai ki, eeka zamaanaa thaa, jaba puurii duniyaa, baabiluu naama kei eeka shahara meiq basatii thii, oura eeka hii bhaasxaa boolatii thii " )
( text_01021 " isa shahara kei loogooq nei, eeka baara, eeka badxqii sii miinaara banaanei kii kooshisha kii, itanii uumqcii, ki jisa pei cadxha kei, iqsaana bhagawaana kei paasa pahumqca jaaee " )
( text_01022 " usakei doosta, preimikaaeemq, oura rishteidaara, usei isii naama sei bulaatei thei, oura woo bhii, aksara samajha jaataa thaa, ki kwaiq, usii koo saqboodhita hai " )
( text_01023 " kwaiq kii umra, kariibana atxhaaraha saala rahii hoogii, yaani ki, woo nawakishoora thaa, aaja kaa txiineijara " )
( text_01024 " shikaara karanaa aniwaarya thaa, leikina isa maamalei mei, kwaiq, thoodxaa kamazoora thaa " )
( text_01025 " usei, jaqgalii jaana warooq sei dxara lagataa thaa " )
( text_01026 " matalaba ki, kwaiq sirphqa machaliyaamq pakadxa kara, bahuta dina caina sei nahiiq raha sakataa thaa " )
( text_01027 " usakei aqdara, jaanei kahaamq sei, eeka ajiiba saa gussaa panapanei lagaa thaa " )
